epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1542,1.80881,5.55595,1.70057,0.00074,0.11111,0.00088,0.00053,1.41715,5.08455,1.74614,0,0,0
2,67.1306,1.89196,5.35606,1.8542,0.0007,0.11111,0.00408,0.00245,1.37065,4.60028,1.57506,1.33469e-05,1.33469e-05,1.33469e-05
3,103.536,1.52937,4.47313,1.46089,0.00188,0.33333,0.01629,0.00659,1.34614,3.84639,1.46637,2.48074e-05,2.48074e-05,2.48074e-05
4,133.493,1.39023,3.59283,1.52862,0.49143,0.43615,0.54777,0.37203,1.36035,2.69772,1.442,3.43817e-05,3.43817e-05,3.43817e-05
5,165.673,1.34676,2.72208,1.40723,0.82983,0.70528,0.83,0.57539,1.33302,1.91888,1.39049,4.20698e-05,4.20698e-05,4.20698e-05
6,192.838,1.10626,1.80041,1.25415,0.78424,0.94838,0.9675,0.69209,1.18627,1.99067,1.288,4.78715e-05,4.78715e-05,4.78715e-05
7,224.901,0.88901,1.52843,1.30698,0.92863,0.90054,0.995,0.66949,1.12609,2.08033,1.31546,5.1787e-05,5.1787e-05,5.1787e-05
8,253.872,0.97842,1.41101,1.21239,0.85428,0.86625,0.9675,0.6941,1.04772,1.71625,1.24689,5.38161e-05,5.38161e-05,5.38161e-05
9,281.084,0.82946,1.44376,1.09622,0.89493,1,0.995,0.7597,0.90876,1.47634,1.15626,5.3959e-05,5.3959e-05,5.3959e-05
10,310.79,0.91433,1.46155,1.30401,0.9829,1,0.995,0.72831,0.91108,1.40177,1.15956,5.22157e-05,5.22157e-05,5.22157e-05
11,335.913,0.82185,1.23621,1.09399,0.9799,1,0.995,0.73569,0.94452,1.24171,1.19116,4.8586e-05,4.8586e-05,4.8586e-05
12,361.839,0.85652,1.16332,1.20784,0.98052,1,0.995,0.77471,0.84898,1.16469,1.11479,4.30701e-05,4.30701e-05,4.30701e-05
13,386.933,0.76672,1.09185,1.15273,0.98194,1,0.995,0.79845,0.81876,1.1048,1.08234,3.56678e-05,3.56678e-05,3.56678e-05
14,412.96,0.81989,1.05551,1.11536,0.98635,1,0.995,0.7947,0.83356,1.06672,1.09208,2.63793e-05,2.63793e-05,2.63793e-05
15,438.178,0.75711,1.0192,1.09981,0.98532,1,0.995,0.81151,0.836,1.05105,1.09751,1.52046e-05,1.52046e-05,1.52046e-05
